source,method,metric,fit_ok,a,b,c,combo_id,cohort,cancer,cancer_prefix,norm,model,off_aug,batch,data_type,model_type,title
real,LOGIS,f1_score,True,-144.51006022926683,145.24194047114182,-0.00048454488631788546,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-50
real,LOGIS,accuracy,True,-150.20531472016475,150.91418867399332,-0.0004374871497284051,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-50
real,LOGIS,auc,True,0.42613842497545656,1.07310221144542e+61,-47.58076613339418,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-50
real,SVM,f1_score,True,-261.3639422811539,262.1728460902787,-0.0003207823742547606,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-50
real,SVM,accuracy,True,-140.4253329451693,141.1282094497344,-0.00045183746731886147,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-50
real,SVM,auc,True,0.5767113432420894,-3.86312373546081e+57,-44.95218518586738,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-50
real,KNN,f1_score,True,0.4505448107664398,0.00220665348912799,0.8457587217346276,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-50
real,KNN,accuracy,True,136.48693658945894,-136.18625191244777,-0.0003674116998346638,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-50
real,KNN,auc,True,0.44281314080771483,0.00015075577535372914,1.4783019567175228,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-50
real,RF,f1_score,True,0.4856290698789134,5.377336208494498e+61,-48.226131307614644,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-50
real,RF,accuracy,True,0.47086916739565765,2.267998922051863e+62,-48.699451716307635,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-50
real,RF,auc,True,0.4674223135397731,4.0894629840044844e+61,-48.03057296741894,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-50
real,XGB,f1_score,True,-75.60285840787542,76.29346726538203,-0.0006466329211096081,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-50
real,XGB,accuracy,True,-83.4825530003075,84.13327729775497,-0.0004932845702357531,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-50
real,XGB,auc,True,-45.69795635741694,46.26361170729894,-0.00039269300600677543,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-50
generated,LOGIS,f1_score,True,-0.3173636495261394,1.1297723586351536,-0.17722128279673885,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-50
generated,LOGIS,accuracy,True,-0.33940769698389067,1.1242467627218415,-0.1672531670082284,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-50
generated,LOGIS,auc,True,-0.06845241809536019,1.2764063671395927,-0.43202587519666125,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-50
generated,SVM,f1_score,True,-1.2878097703124347,1.964447414732384,-0.06004418605162225,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-50
generated,SVM,accuracy,True,-2.163898102651191,2.7964537761468065,-0.03649943470167275,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-50
generated,SVM,auc,True,-0.02241127821313376,7.098044168241502,-0.8291214248442953,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-50
generated,KNN,f1_score,True,-767.0760212311152,767.6769524020033,-0.00010406249767673201,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-50
generated,KNN,accuracy,True,-976.7439777783121,977.3259780461848,-7.868946966754022e-05,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-50
generated,KNN,auc,True,-0.2707725571930909,1.0610692722771145,-0.19185675224066664,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-50
generated,RF,f1_score,True,-609.8196985455871,610.3917609265891,-0.00011169085798501737,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-50
generated,RF,accuracy,True,-568.371607522093,568.9282169453007,-0.00011564737538050207,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-50
generated,RF,auc,True,-0.16320917907695645,0.9595487640570728,-0.22488182401061557,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-50
generated,XGB,f1_score,True,-0.09158417697128746,0.9897928713605019,-0.22283091484410367,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-50
generated,XGB,accuracy,True,-0.14654817299706085,0.943579515454953,-0.18294902389630532,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-50
generated,XGB,auc,True,-0.13430028134809882,0.9796198898841358,-0.2417927102470699,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-50
