Dataset (cancer_variable)	N (raw)	N (after NA)	Markers (raw)	Markers (non-zero)	x* (mean)	y* (SD)	Markers (final)	Removed (%)
BLCA_histologic_subtype	437	432	1881	1567	1.287	1.507	503	73.3
BRCA_breast_carcinoma_estrogen_receptor_status	1207	1144	1881	1601	0.607	0.93	570	69.7
COAD_tumor_status	414	414	1881	1531	1.865	1.419	351	81.3
ESCA_icd_o_3_histology	200	200	1881	1490	1.613	1.419	404	78.5
HNSC_anatomic_organ_subdivision	569	569	1881	1616	1.063	1.08	529	71.9-
KICH_lymph_nodes_examined	91	91	1881	1379	1.371	1.241	416	77.9
KIRC_ajcc_pathologic_tumor_stage	616	613	1881	1501	2.704	1.52	280	85.1
KIRP_ajcc_pathologic_tumor_stage	326	295	1881	1499	1.037	1.071	481	74.4
LAML_wbc_24hr_of_banking	187	187	1881	1297	0.906	1.169	391	79.2
LIHC_platelet_norm_range_lower	352	352	1881	1512	0.814	1.316	590	68.6
LUAD_initial_pathologic_dx_year	557	557	1881	1584	2.665	1.747	334	82.2
LUSC_initial_pathologic_dx_year	516	516	1881	1602	0.697	1.127	630	66.5
OV_tumor_residual_disease	575	502	1881	1600	2.047	1.692	452	76
PAAD_anatomic_neoplasm_subdivision	183	183	1881	1449	1.447	1.11	423	77.5
PCPG_primary_pathology_histological_type	187	187	1881	1436	1.962	1.414	417	77.8
PRAD_icd_o_3_histology	551	536	1881	1513	2.568	1.351	287	84.7
READ_tumor_status	144	144	1881	1446	1.648	1.48	387	79.4
SARC_primary_pathology_histological_type	263	263	1881	1471	4.817	2.778	225	88
SKCM_initial_pathologic_dx_year	449	449	1881	1600	1.062	1.296	630	66.5
STAD_prospective_collection	490	490	1881	1556	1.195	1.151	446	76.3
TGCT_histologic_diagnosis	156	139	1881	1546	2.293	1.654	522	72.2
THCA_initial_pathologic_dx_year	573	573	1881	1593	2.971	1.498	324	82.8
THYM_primary_pathology_history_myasthenia_gravis	126	123	1881	1524	2.747	1.788	446	76.3
UCS_primary_pathology_total_pelv_lnr	57	57	1881	1414	3.728	2.269	330	82.5
RNA_COAD_tumor_status	524	467	60660	57567	5	2	723	98.8
RNA_LAML_blast_count	151	151	60660	57508	5	2	850	98.6
RNA_READ_ajcc_tumor_pathologic_pt	177	174	60660	54477	5	2	633	99
RNA_SKCM_breslow_thickness_at_diagnosis	473	361	60660	57063	8	2	1091	99.3
RNA_PAAD_ajcc_nodes_pathologic_pn	183	182	60660	55553	5	2	866	98.6